date,lo20,hi20,lo10,hi10
198509,-3.03,-7.97,-3.3,-8.62
198510,4.71,3.05,4.5,2.07
198511,6.61,5.15,7.51,4.24
198512,5.39,3.22,6.36,3.95
198601,0.78,1.32,1.47,1.85
198602,7.86,5.78,7.26,5.01
198603,5.34,3.92,4.69,3.55
198604,-1.06,0.84,-0.7,0.03
198605,4.42,3.56,3.32,4.08
198606,2.38,-0.73,3.01,-0.81
198607,-3.13,-10.77,-2.47,-12
198608,7.28,3.49,7.82,1.27
198609,-8.58,-5.96,-8.18,-7.01
198610,4.43,3.6,3.21,0.43
198611,2.69,-1.66,2.92,-3.87
198612,-2.47,-4.77,-1.58,-5.03
198701,13.03,12.01,12.55,10.35
198702,2.82,7.22,2.33,6.32
198703,1.77,2.38,0.36,1.64
198704,-1.7,-1.48,-3.11,-2.33
198705,0.46,0.55,0.1,-0.52
198706,5.24,-0.4,5.35,-1.57
198707,3.03,4.16,1.26,4.95
198708,4.98,2.19,4.73,0.78
198709,-2.46,-1.21,-2.6,-1.74
198710,-17.88,-30.83,-14.34,-30.14
198711,-7.28,-7.25,-6.47,-6.14
198712,4.57,5.66,3.25,3.88
198801,5.15,1.57,6.1,2.93
198802,2.76,8.21,1.99,7.82
198803,-3.54,3.94,-4.57,3.59
198804,1.01,0.51,1.79,0.89
198805,1.5,-3.09,1.51,-3.29
198806,4.17,5.98,3.7,5.26
198807,0.08,-1.19,-0.28,-0.51
198808,-2.47,-2.5,-2.74,-3.19
198809,4.15,1.88,4.2,0.17
198810,3.55,-1.65,3.07,-2.93
198811,-1.07,-2.81,-1.19,-0.72
198812,1.47,3.58,1.77,1.44
198901,6.42,5.23,5.92,5.65
198902,-2.72,0.3,-2.82,0.15
198903,2.31,0.86,1.7,1.27
198904,4.7,3.44,4.27,0.67
198905,3.93,3.49,4.08,1.68
198906,0.11,-1.85,0.76,-2.06
198907,8.37,2.57,6.16,-0.31
198908,1.2,1.65,0.51,0.26
198909,0.29,0.41,-0.75,0.52
198910,-0.97,-7.71,-0.62,-9.58
198911,2.95,-0.95,3.46,-1.31
198912,3.45,-1.08,4.63,-1.22
199001,-6.18,-11.41,-4.74,-10.51
199002,0.86,2.64,0.51,2.52
199003,2.33,2.75,2.14,1.54
199004,-1.66,-3.61,-1.3,-4.6
199005,8.85,8.74,7.88,5.99
199006,-0.05,-0.34,-0.23,0.53
199007,1.09,-6.16,1.73,-5.66
199008,-8.03,-14.16,-8.58,-15.1
199009,-3.44,-11,-2.9,-13.93
199010,1.77,-6.78,3.54,-8.65
199011,5.37,8.32,5.59,7.12
199012,2.16,0.75,2.37,-3.24
199101,1.29,10.66,0.61,8.19
199102,6.91,14.67,7.1,16.79
199103,2.74,8.13,2.01,7.65
199104,0.72,-0.04,0.4,-0.77
199105,2.37,3.31,2.19,-0.59
199106,-2.79,-6.96,-2.56,-6.79
199107,4.67,5.57,4.4,3.87
199108,2.3,4.54,2.68,4.9
199109,-0.3,-0.34,0.39,-1.53
199110,2.07,3.69,2.49,3.38
199111,-2.87,-5.41,-2.41,-7.82
199112,10.32,9.94,8.74,7.45
199201,-3.51,11.28,-3.68,15.36
199202,-0.46,3.1,-0.77,1.2
199203,-1.66,-5.6,-1.42,-5.08
199204,3.1,-6.52,3.74,-8.74
199205,0.87,-0.78,1.16,-1.05
199206,-0.73,-6.26,-0.17,-6.74
199207,4.66,3.8,4.34,2.48
199208,-0.9,-3.95,-0.59,-5.81
199209,1.26,1.75,2.17,1.59
199210,0.03,4.81,-1.21,3.46
199211,2.23,9.69,2.22,7.95
199212,1.85,3,2.82,1.97
199301,0.05,2.93,1.39,4.09
199302,2.58,-4.54,3.84,-4.9
199303,2.19,2.36,2.12,2.25
199304,-1.92,-3.1,-1.17,-2.5
199305,1.53,7.04,0,6.16
199306,2.06,0.36,2.53,0.02
199307,0.81,-0.24,1.53,-0.09
199308,2.73,4.81,3.27,3.65
199309,-0.67,2.89,-0.23,1.84
199310,-0.32,3.82,-0.76,4.33
199311,-2.85,-2.54,-2.84,-3.92
199312,1.96,2.18,3.2,0.54
199401,1.95,4.51,2.54,4.32
199402,-3.04,-0.78,-3.31,-0.39
199403,-3.67,-6.49,-3.67,-8.17
199404,2.07,-2.26,1.86,-2.9
199405,0.99,-1.57,0.83,-1.81
199406,-2.37,-5.86,-2.71,-6.57
199407,3.32,2.22,3.11,1.54
199408,3.15,7.87,3.43,8
199409,-2.79,0.33,-2.87,0.67
199410,2.17,2.45,2.47,1.65
199411,-3.17,-3.36,-3.45,-3.82
199412,1.72,0.02,0.92,-1.11
199501,4.08,0.29,4.39,0.16
199502,3,3.57,2.56,3.18
199503,1.75,3.18,1.73,2.43
199504,3.01,2,2.73,2.01
199505,3.85,1.77,3.81,0.81
199506,1.07,8.83,-0.09,8.75
199507,1.84,8.52,1.85,8.39
199508,1.84,1.4,1.73,1.82
199509,6.28,2.5,4.97,1.43
199510,1.02,-4.36,0.94,-6.07
199511,4.95,3.06,3.53,1.38
199512,3.86,-2.8,3.83,-2.13
199601,2.51,0.37,2.88,-0.53
199602,0.45,3.48,-0.35,3.16
199603,0.91,0.28,0.79,0.01
199604,-0.84,10.3,-1.54,12.45
199605,3.1,4.71,4.26,4.73
199606,2.1,-7.23,2.92,-8.68
199607,-3.77,-12.95,-2.56,-14.86
199608,2.88,5.66,1.78,6.39
199609,4.98,7.09,4.74,7.65
199610,3.73,-4.47,4.62,-6.21
199611,6.52,4.82,6.58,3.36
199612,-1.39,-1.23,-1.19,-2.09
199701,5.04,4.69,4.84,4.7
199702,2.29,-6.24,2.6,-7.17
199703,-2.87,-7.47,-2.33,-8.98
199704,4.5,-0.43,3.35,-2.6
199705,5.42,14.25,6.15,15.56
199706,5.21,2.93,4.88,3.11
199707,7.8,9.12,8.47,8.05
199708,-6.24,1.77,-7.42,2.78
199709,6.33,6.26,6.28,6.48
199710,-2.21,-7.29,-1.21,-7.02
199711,5.82,-2.98,5.71,-3.52
199712,4.55,-1.56,3.71,-3.4
199801,-0.19,0.21,-0.59,-1.05
199802,6.78,8.69,5.45,9.12
199803,6.23,4.28,7.51,3.02
199804,-0.13,2.78,-0.35,3.7
199805,-2.04,-6.95,-1.95,-8.24
199806,2.99,1.5,4.09,0.54
199807,-3.93,-5.38,-2.92,-5.97
199808,-11.29,-24.44,-9.12,-26.54
199809,5.15,11.59,1.73,10.37
199810,5.48,7.34,3.1,7.44
199811,6.43,8.82,6.98,8.04
199812,6.1,8.14,4.95,8.11
199901,-1.15,11.61,-2.51,15.42
199902,-0.45,-8.25,-2.16,-7.98
199903,2.86,11.41,3.66,10.19
199904,2.99,9.11,-0.43,12.17
199905,-2.98,-2.14,-2.48,-4.26
199906,5.1,9.18,3.23,7.55
199907,-3.13,-4.84,-2.21,-5.37
199908,-0.34,-0.07,-1.07,-0.58
199909,-2.88,1.88,-0.66,4.09
199910,7.3,10.16,10.48,8.77
199911,0.07,14.92,-4.03,17.19
199912,6.42,21.3,7.68,24.28
200001,-4.95,-4.54,-7.5,-3.71
200002,-6.65,26,-4.4,24.99
200003,11.72,-7.34,14.06,-13.27
200004,2.9,-15.3,2.09,-19.86
200005,2.13,-11,0.75,-14.15
200006,-3.28,16.92,-1.27,24.13
200007,1.63,-7.29,-1.1,-7.88
200008,7.62,13.8,4.55,14.12
200009,-4.8,-9.22,3.92,-8.17
200010,-1.02,-9.73,0.13,-14.88
200011,-1.58,-24.86,1.95,-31.44
200012,3.69,-0.94,6.55,-1.07
200101,-4.65,16.17,-6.38,17.35
200102,-0.92,-28.15,0.48,-33.03
200103,-3.27,-17.06,-3.08,-21.18
200104,5.01,17.75,5.78,22.36
200105,2.34,-3.24,3.3,-3.56
200106,-1.33,0.47,-2.96,-1.55
200107,-2.25,-9.8,0.39,-13.48
200108,-2.88,-12.77,-2.04,-15.73
200109,-3.44,-21.78,-4.33,-25.26
200110,1.29,14.75,0.26,19.55
200111,3.92,15.33,3.71,13.17
200112,0.81,3.47,3.18,5.18
200201,-0.75,-4.75,-0.64,-5.46
200202,0.38,-14.46,1.29,-15.13
200203,3.59,10.99,3.89,16.09
200204,-4.46,-12.93,-2.36,-12.87
200205,-0.64,-7.84,0,-10.49
200206,-4.45,-14.86,-4.13,-20.38
